Timestamp	thumbPCom	thumbYCom	indexCom	mrpCom	wristRotCom	wristFlexCom	humPosCom	elbowPosCom	humPos	elbowPos	wristRot	wristFlex	thumbYPos	thumbPPos	indexPos	mrpPos	indLatF	indTipF	midTipF	ringTipF	pinkTipF	palmDistF	palmProxF	handEdgeF	handDorsF	thumbUlF	thumbRaF	thumbTipF	thumbDorsF	indLatStat	indTipStat	midTipStat	ringTipStat	pinkTipStat	palmDistStat	palmProxStat	handEdgeStat	handDorsStat	thumbUlStat	thumbRaStat	thumbTipStat	thumbDorsStat	modeSelect	thumbP	thumbY	index	mrp	handOC	grip	wristRot	wristFlex	humPos	elbow	raw0	raw1	raw2	raw3	raw4	raw5	raw6	raw7	raw8	raw9	raw10	raw11	raw12	raw13	raw14	raw15	iEMG0	iEMG1	iEMG2	iEMG3	iEMG4	iEMG5	iEMG6	iEMG7	iEMG8	iEMG9	iEMG10	iEMG11	iEMG12	iEMG13	iEMG14	iEMG15	Trigger
1645220233.460843	-0.296875	-0.125	1.28125	1.3125	0.04154045680997047	0.796875	90.40625	1.15625	90.40625	1.15625	27.109375	0.796875	-0.125	-0.296875	1.28125	1.3125	1.0	1.4	0.0	0.0	0.0	4.9	2.3	5.6	12.1	0.9	0.0	0.0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	50	50	63	63	0	0	511	517	963	57	9127.5576171875	14025.2705078125	-1293.3612060546875	-101072.0703125	14663.1005859375	-8430.7197265625	6113.8271484375	193432.875	1317496.25	-11066.2578125	-1975.7152099609375	-1981.07958984375	5693.79345703125	-2893.567138671875	7047.7724609375	-733.31591796875	186.8644529960891	284.6123687750005	68.152199939468	13.080102791050074	75.90473184393859	9.754749762166341	11.104866680131307	21.179065290579008	687.4551609183137	18.118462422047205	290.41055992044306	284.1873476300499	664.1100975895791	696.6171937635202	1079.345632254054	877.02850010073	0
1645220233.474594	-0.296875	-0.125	1.28125	1.3125	0.15336210609613088	0.796875	90.40625	1.15625	90.40625	1.15625	27.109375	0.796875	-0.125	-0.296875	1.28125	1.3125	1.0	1.4	0.0	0.0	0.0	4.9	2.3	5.6	12.1	0.9	0.0	0.0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	50	50	63	63	0	0	511	517	963	57	9127.5576171875	14025.2705078125	-1293.3612060546875	-101072.0703125	14663.1005859375	-8430.7197265625	6113.8271484375	193432.875	1317496.25	-11066.2578125	-1975.7152099609375	-1981.07958984375	5693.79345703125	-2893.567138671875	7047.7724609375	-733.31591796875	186.8644529960891	284.6123687750005	68.152199939468	13.080102791050074	75.90473184393859	9.754749762166341	11.104866680131307	21.179065290579008	687.4551609183137	18.118462422047205	290.41055992044306	284.1873476300499	664.1100975895791	696.6171937635202	1079.345632254054	877.02850010073	0
1645220233.484092	-0.296875	-0.125	1.28125	1.3125	0.31875615070419455	0.796875	90.40625	1.15625	90.40625	1.15625	27.109375	0.796875	-0.125	-0.296875	1.28125	1.3125	1.0	1.4	0.0	0.0	0.0	4.9	2.3	5.6	12.1	0.9	0.0	0.0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	50	50	63	63	0	0	511	517	963	57	9127.5576171875	14025.2705078125	-1293.3612060546875	-101072.0703125	14663.1005859375	-8430.7197265625	6113.8271484375	193432.875	1317496.25	-11066.2578125	-1975.7152099609375	-1981.07958984375	5693.79345703125	-2893.567138671875	7047.7724609375	-733.31591796875	186.8644529960891	284.6123687750005	68.152199939468	13.080102791050074	75.90473184393859	9.754749762166341	11.104866680131307	21.179065290579008	687.4551609183137	18.118462422047205	290.41055992044306	284.1873476300499	664.1100975895791	696.6171937635202	1079.345632254054	877.02850010073	0
1645220233.495592	-0.296875	-0.125	1.28125	1.3125	0.5239267357587531	0.796875	90.40625	1.15625	90.40625	1.15625	27.109375	0.796875	-0.125	-0.296875	1.28125	1.3125	1.0	1.4	0.0	0.0	0.0	4.9	2.3	5.6	12.1	0.9	0.0	0.0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	50	50	63	63	0	0	512	517	963	57	9127.5576171875	14025.2705078125	-1293.3612060546875	-101072.0703125	14663.1005859375	-8430.7197265625	6113.8271484375	193432.875	1317496.25	-11066.2578125	-1975.7152099609375	-1981.07958984375	5693.79345703125	-2893.567138671875	7047.7724609375	-733.31591796875	186.8644529960891	284.6123687750005	68.152199939468	13.080102791050074	75.90473184393859	9.754749762166341	11.104866680131307	21.179065290579008	687.4551609183137	18.118462422047205	290.41055992044306	284.1873476300499	664.1100975895791	696.6171937635202	1079.345632254054	877.02850010073	0
1645220233.507217	-0.296875	-0.125	1.28125	1.3125	0.7575419370965206	0.796875	90.40625	1.15625	90.40625	1.15625	27.109375	0.796875	-0.125	-0.296875	1.28125	1.3125	1.0	1.4	0.0	0.0	0.0	4.9	2.3	5.6	12.1	0.9	0.0	0.0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	50	50	63	63	0	0	513	517	963	57	9127.5576171875	14025.2705078125	-1293.3612060546875	-101072.0703125	14663.1005859375	-8430.7197265625	6113.8271484375	193432.875	1317496.25	-11066.2578125	-1975.7152099609375	-1981.07958984375	5693.79345703125	-2893.567138671875	7047.7724609375	-733.31591796875	186.8644529960891	284.6123687750005	68.152199939468	13.080102791050074	75.90473184393859	9.754749762166341	11.104866680131307	21.179065290579008	687.4551609183137	18.118462422047205	290.41055992044306	284.1873476300499	664.1100975895791	696.6171937635202	1079.345632254054	877.02850010073	0
1645220233.519092	-0.296875	-0.125	1.28125	1.3125	1.0103498632803183	0.796875	90.40625	1.15625	90.40625	1.15625	27.109375	0.796875	-0.125	-0.296875	1.28125	1.3125	1.0	1.4	0.0	0.0	0.0	4.8	2.5	5.6	12.3	0.9	0.0	0.0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	50	50	63	63	0	0	513	517	963	57	9127.5576171875	14025.2705078125	-1293.3612060546875	-101072.0703125	14663.1005859375	-8430.7197265625	6113.8271484375	193432.875	1317496.25	-11066.2578125	-1975.7152099609375	-1981.07958984375	5693.79345703125	-2893.567138671875	7047.7724609375	-733.31591796875	186.8644529960891	284.6123687750005	68.152199939468	13.080102791050074	75.90473184393859	9.754749762166341	11.104866680131307	21.179065290579008	687.4551609183137	18.118462422047205	290.41055992044306	284.1873476300499	664.1100975895791	696.6171937635202	1079.345632254054	877.02850010073	0
1645220233.530841	-0.296875	-0.125	1.28125	1.3125	1.2748497926627083	0.796875	90.40625	1.15625	90.40625	1.15625	27.109375	0.796875	-0.125	-0.296875	1.28125	1.3125	1.0	1.4	0.0	0.0	0.0	4.8	2.5	5.6	12.3	0.9	0.0	0.0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	50	50	63	63	0	0	514	517	963	57	9127.5576171875	14025.2705078125	-1293.3612060546875	-101072.0703125	14663.1005859375	-8430.7197265625	6113.8271484375	193432.875	1317496.25	-11066.2578125	-1975.7152099609375	-1981.07958984375	5693.79345703125	-2893.567138671875	7047.7724609375	-733.31591796875	186.8644529960891	284.6123687750005	68.152199939468	13.080102791050074	75.90473184393859	9.754749762166341	11.104866680131307	21.179065290579008	687.4551609183137	18.118462422047205	290.41055992044306	284.1873476300499	664.1100975895791	696.6171937635202	1079.345632254054	877.02850010073	0
1645220233.541469	-0.296875	-0.125	1.28125	1.3125	1.5450120555887445	0.796875	90.40625	1.15625	90.40625	1.15625	27.109375	0.796875	-0.125	-0.296875	1.28125	1.3125	1.0	1.4	0.0	0.0	0.0	4.8	2.5	5.6	12.3	0.9	0.0	0.0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	50	50	63	63	0	0	515	517	963	57	9127.5576171875	14025.2705078125	-1293.3612060546875	-101072.0703125	14663.1005859375	-8430.7197265625	6113.8271484375	193432.875	1317496.25	-11066.2578125	-1975.7152099609375	-1981.07958984375	5693.79345703125	-2893.567138671875	7047.7724609375	-733.31591796875	186.8644529960891	284.6123687750005	68.152199939468	13.080102791050074	75.90473184393859	9.754749762166341	11.104866680131307	21.179065290579008	687.4551609183137	18.118462422047205	290.41055992044306	284.1873476300499	664.1100975895791	696.6171937635202	1079.345632254054	877.02850010073	0
1645220233.554593	-0.296875	-0.125	1.28125	1.3125	1.8160388710533166	0.796875	90.40625	1.15625	90.40625	1.15625	27.109375	0.796875	-0.125	-0.296875	1.28125	1.3125	1.0	1.4	0.0	0.0	0.0	4.8	2.5	5.6	12.3	0.9	0.0	0.0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	50	50	63	63	0	0	516	517	963	57	9127.5576171875	14025.2705078125	-1293.3612060546875	-101072.0703125	14663.1005859375	-8430.7197265625	6113.8271484375	193432.875	1317496.25	-11066.2578125	-1975.7152099609375	-1981.07958984375	5693.79345703125	-2893.567138671875	7047.7724609375	-733.31591796875	186.8644529960891	284.6123687750005	68.152199939468	13.080102791050074	75.90473184393859	9.754749762166341	11.104866680131307	21.179065290579008	687.4551609183137	18.118462422047205	290.41055992044306	284.1873476300499	664.1100975895791	696.6171937635202	1079.345632254054	877.02850010073	0
1645220233.564592	-0.296875	-0.125	1.28125	1.3125	2.0841605082431056	0.796875	90.40625	1.15625	90.40625	1.15625	27.109375	0.796875	-0.125	-0.296875	1.28125	1.3125	1.0	1.4	0.0	0.0	0.0	4.8	2.5	5.6	12.3	0.9	0.0	0.0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	50	50	63	63	0	0	517	517	963	57	9127.5576171875	14025.2705078125	-1293.3612060546875	-101072.0703125	14663.1005859375	-8430.7197265625	6113.8271484375	193432.875	1317496.25	-11066.2578125	-1975.7152099609375	-1981.07958984375	5693.79345703125	-2893.567138671875	7047.7724609375	-733.31591796875	186.8644529960891	284.6123687750005	68.152199939468	13.080102791050074	75.90473184393859	9.754749762166341	11.104866680131307	21.179065290579008	687.4551609183137	18.118462422047205	290.41055992044306	284.1873476300499	664.1100975895791	696.6171937635202	1079.345632254054	877.02850010073	0
